date,crime_type,count
03/30/2006,Theft of Vehicle,23
03/30/2006,Vehicle Recovery,2
03/30/2006,Weapons Offense,5
03/30/2007,Arson,2
03/30/2007,Assault,85
03/30/2007,Breaking & Entering,39
03/30/2007,Disorder,5
03/30/2007,Drugs,34
03/30/2007,Family Offense,2
03/30/2007,Kidnapping,2
03/30/2007,Property Crime,44
03/30/2007,Robbery,8
03/30/2007,Theft,81
03/30/2007,Theft from Vehicle,32
03/30/2007,Theft of Vehicle,18
03/30/2007,Vehicle Recovery,3
03/30/2007,Weapons Offense,1
03/30/2008,Arson,1
03/30/2008,Assault,84
03/30/2008,Breaking & Entering,20
03/30/2008,Disorder,1
03/30/2008,Drugs,2
03/30/2008,Family Offense,2
03/30/2008,Kidnapping,1
03/30/2008,Property Crime,37
03/30/2008,Robbery,11
03/30/2008,Theft,52
03/30/2008,Theft from Vehicle,39
03/30/2008,Theft of Vehicle,13
03/30/2008,Traffic,6
03/30/2008,Vehicle Recovery,2
03/30/2009,Arson,1
03/30/2009,Assault,106
03/30/2009,Breaking & Entering,26
03/30/2009,Disorder,2
03/30/2009,Drugs,18
03/30/2009,Homicide,1
03/30/2009,Kidnapping,2
03/30/2009,Property Crime,35
03/30/2009,Robbery,25
03/30/2009,Theft,84
03/30/2009,Theft from Vehicle,34
03/30/2009,Theft of Vehicle,11
03/30/2009,Traffic,1
03/30/2009,Vehicle Recovery,3
03/30/2009,Weapons Offense,4
03/30/2010,Assault,89
03/30/2010,Breaking & Entering,24
03/30/2010,Disorder,2
03/30/2010,Drugs,33
03/30/2010,Kidnapping,2
03/30/2010,Property Crime,31
03/30/2010,Robbery,13
03/30/2010,Theft,48
03/30/2010,Theft from Vehicle,10
03/30/2010,Theft of Vehicle,9
03/30/2010,Traffic,2
03/30/2010,Weapons Offense,6
03/30/2011,Assault,82
03/30/2011,Breaking & Entering,31
03/30/2011,Disorder,4
03/30/2011,Drugs,20
03/30/2011,Family Offense,4
03/30/2011,Homicide,1
03/30/2011,Property Crime,27
03/30/2011,Robbery,6
03/30/2011,Theft,45
03/30/2011,Theft from Vehicle,26
03/30/2011,Theft of Vehicle,7
03/30/2011,Traffic,6
03/30/2011,Weapons Offense,3
03/30/2012,Arson,2
03/30/2012,Assault,106
03/30/2012,Breaking & Entering,41
03/30/2012,Disorder,8
03/30/2012,Drugs,33
03/30/2012,Family Offense,3
03/30/2012,Homicide,1
03/30/2012,Kidnapping,1
03/30/2012,Liquor,2
03/30/2012,Property Crime,52
03/30/2012,Robbery,7
03/30/2012,Theft,81
03/30/2012,Theft from Vehicle,13
03/30/2012,Theft of Vehicle,9
03/30/2012,Traffic,3
03/30/2012,Vehicle Recovery,1
03/30/2012,Weapons Offense,9
03/30/2013,Assault,70
03/30/2013,Breaking & Entering,18
03/30/2013,Disorder,4
03/30/2013,Drugs,14
03/30/2013,Property Crime,49
03/30/2013,Robbery,12
03/30/2013,Theft,51
03/30/2013,Theft from Vehicle,17
03/30/2013,Theft of Vehicle,7
03/30/2013,Traffic,7
03/30/2013,Weapons Offense,2
03/30/2014,Assault,100
03/30/2014,Breaking & Entering,19
03/30/2014,Disorder,2
03/30/2014,Drugs,7
03/30/2014,Family Offense,1
03/30/2014,Property Crime,45
03/30/2014,Robbery,3
03/30/2014,Theft,55
03/30/2014,Theft from Vehicle,15
03/30/2014,Theft of Vehicle,8
03/30/2014,Traffic,3
03/30/2014,Weapons Offense,3
03/30/2015,Arson,1
03/30/2015,Assault,101
03/30/2015,Breaking & Entering,39
03/30/2015,Disorder,3
03/30/2015,Drugs,12
03/30/2015,Family Offense,2
03/30/2015,Liquor,2
03/30/2015,Property Crime,40
03/30/2015,Robbery,5
03/30/2015,Theft,55
03/30/2015,Theft from Vehicle,28
03/30/2015,Theft of Vehicle,11
03/30/2015,Traffic,2
03/30/2015,Vehicle Recovery,1
03/30/2015,Weapons Offense,1
03/30/2016,Assault,74
03/30/2016,Breaking & Entering,24
03/30/2016,Disorder,3
03/30/2016,Drugs,20
03/30/2016,Family Offense,6
03/30/2016,Liquor,1
03/30/2016,Property Crime,31
03/30/2016,Robbery,5
03/30/2016,Theft,41
03/30/2016,Theft from Vehicle,17
03/30/2016,Theft of Vehicle,12
03/30/2016,Traffic,1
03/30/2016,Vehicle Recovery,1
03/30/2016,Weapons Offense,3
03/30/2017,Arson,1
03/30/2017,Assault,92
03/30/2017,Breaking & Entering,42
03/30/2017,Disorder,3
03/30/2017,Drugs,11
03/30/2017,Family Offense,3
03/30/2017,Homicide,1
03/30/2017,Kidnapping,1
03/30/2017,Property Crime,23
03/30/2017,Robbery,6
03/30/2017,Theft,46
03/30/2017,Theft from Vehicle,22
03/30/2017,Theft of Vehicle,7
03/30/2017,Traffic,1
03/30/2017,Weapons Offense,2
03/30/2018,Arson,3
03/30/2018,Assault,76
03/30/2018,Breaking & Entering,17
03/30/2018,Disorder,6
03/30/2018,Drugs,24
03/30/2018,Family Offense,1
03/30/2018,Property Crime,25
03/30/2018,Robbery,7
03/30/2018,Theft,50
03/30/2018,Theft from Vehicle,13
03/30/2018,Theft of Vehicle,16
03/30/2018,Traffic,2
03/30/2018,Weapons Offense,4
03/30/2019,Arson,1
03/30/2019,Assault,78
03/30/2019,Breaking & Entering,17
03/30/2019,Disorder,3
03/30/2019,Drugs,5
03/30/2019,Family Offense,1
03/30/2019,Homicide,1
03/30/2019,Liquor,1
03/30/2019,Property Crime,39
03/30/2019,Robbery,4
03/30/2019,Theft,52
03/30/2019,Theft from Vehicle,19
03/30/2019,Theft of Vehicle,10
03/30/2019,Traffic,6
03/30/2020,Assault,73
03/30/2020,Breaking & Entering,17
03/30/2020,Disorder,5
03/30/2020,Drugs,2
03/30/2020,Family Offense,1
03/30/2020,Homicide,1
03/30/2020,Kidnapping,2
03/30/2020,Property Crime,37
03/30/2020,Robbery,6
03/30/2020,Theft,59
03/30/2020,Theft from Vehicle,22
03/30/2020,Theft of Vehicle,34
03/30/2020,Traffic,1
03/30/2020,Vehicle Recovery,1
03/30/2020,Weapons Offense,3
03/30/2021,Arson,1
03/30/2021,Assault,81
03/30/2021,Breaking & Entering,8
03/30/2021,Disorder,4
03/30/2021,Drugs,12
03/30/2021,Kidnapping,1
03/30/2021,Property Crime,30
03/30/2021,Robbery,3
03/30/2021,Theft,42
03/30/2021,Theft from Vehicle,16
03/30/2021,Theft of Vehicle,11
03/30/2021,Traffic,1
03/30/2021,Weapons Offense,7
03/30/2022,Arson,1
03/30/2022,Assault,60
03/30/2022,Breaking & Entering,17
03/30/2022,Disorder,3
03/30/2022,Drugs,9
03/30/2022,Family Offense,2
03/30/2022,Property Crime,38
03/30/2022,Robbery,7
03/30/2022,Theft,53
03/30/2022,Theft from Vehicle,19
03/30/2022,Theft of Vehicle,6
03/30/2022,Traffic,2
03/30/2022,Weapons Offense,10
03/31/2003,Theft,1
03/31/2006,Assault,110
03/31/2006,Breaking & Entering,52
03/31/2006,Disorder,1
03/31/2006,Drugs,26
03/31/2006,Property Crime,78
03/31/2006,Robbery,22
03/31/2006,Theft,76
03/31/2006,Theft from Vehicle,28
03/31/2006,Theft of Vehicle,18
03/31/2006,Vehicle Recovery,1
03/31/2006,Weapons Offense,7
03/31/2007,Assault,103
03/31/2007,Breaking & Entering,31
03/31/2007,Disorder,1
03/31/2007,Drugs,15
03/31/2007,Family Offense,1
03/31/2007,Homicide,1
03/31/2007,Kidnapping,1
03/31/2007,Property Crime,52
03/31/2007,Robbery,12
03/31/2007,Theft,69
03/31/2007,Theft from Vehicle,30
03/31/2007,Theft of Vehicle,13
03/31/2007,Traffic,2
03/31/2007,Vehicle Recovery,1
03/31/2007,Weapons Offense,2
03/31/2008,Assault,86
03/31/2008,Breaking & Entering,50
03/31/2008,Disorder,3
03/31/2008,Drugs,4
03/31/2008,Family Offense,1
03/31/2008,Homicide,1
03/31/2008,Kidnapping,2
03/31/2008,Property Crime,46
03/31/2008,Robbery,14
03/31/2008,Theft,57
03/31/2008,Theft from Vehicle,44
03/31/2008,Theft of Vehicle,17
03/31/2008,Traffic,2
03/31/2008,Weapons Offense,5
03/31/2009,Assault,96
03/31/2009,Breaking & Entering,34
03/31/2009,Disorder,1
03/31/2009,Drugs,28
03/31/2009,Family Offense,1
03/31/2009,Kidnapping,1
03/31/2009,Property Crime,29
03/31/2009,Robbery,14
03/31/2009,Theft,72
03/31/2009,Theft from Vehicle,19
03/31/2009,Theft of Vehicle,14
03/31/2009,Traffic,4
03/31/2009,Vehicle Recovery,3
03/31/2009,Weapons Offense,8
03/31/2010,Arson,1
03/31/2010,Assault,85
03/31/2010,Breaking & Entering,23
03/31/2010,Disorder,1
03/31/2010,Drugs,25
03/31/2010,Family Offense,2
03/31/2010,Property Crime,28
03/31/2010,Robbery,6
03/31/2010,Theft,54
03/31/2010,Theft from Vehicle,7
03/31/2010,Theft of Vehicle,12
03/31/2010,Traffic,3
03/31/2010,Weapons Offense,5
03/31/2011,Assault,96
03/31/2011,Breaking & Entering,38
03/31/2011,Disorder,5
03/31/2011,Drugs,35
03/31/2011,Family Offense,3
03/31/2011,Property Crime,28
03/31/2011,Robbery,9
03/31/2011,Theft,49
03/31/2011,Theft from Vehicle,12
03/31/2011,Theft of Vehicle,11
03/31/2011,Traffic,3
03/31/2011,Weapons Offense,3
03/31/2012,Assault,99
03/31/2012,Breaking & Entering,28
03/31/2012,Disorder,3
03/31/2012,Drugs,27
03/31/2012,Family Offense,2
03/31/2012,Property Crime,55
03/31/2012,Robbery,12
03/31/2012,Theft,59
03/31/2012,Theft from Vehicle,16
03/31/2012,Theft of Vehicle,8
03/31/2012,Traffic,9
03/31/2012,Vehicle Recovery,1
03/31/2012,Weapons Offense,3
03/31/2013,Arson,1
03/31/2013,Assault,103
03/31/2013,Breaking & Entering,22
03/31/2013,Disorder,2
03/31/2013,Drugs,9
03/31/2013,Family Offense,1
03/31/2013,Homicide,1
03/31/2013,Property Crime,42
03/31/2013,Robbery,9
03/31/2013,Theft,41
03/31/2013,Theft from Vehicle,13
03/31/2013,Theft of Vehicle,7
03/31/2013,Traffic,6
03/31/2013,Vehicle Recovery,1
03/31/2013,Weapons Offense,3
03/31/2014,Assault,97
03/31/2014,Breaking & Entering,34
03/31/2014,Disorder,6
03/31/2014,Drugs,14
03/31/2014,Family Offense,1
03/31/2014,Homicide,1
03/31/2014,Kidnapping,1
03/31/2014,Property Crime,35
03/31/2014,Robbery,13
03/31/2014,Theft,65
03/31/2014,Theft from Vehicle,7
03/31/2014,Theft of Vehicle,9
03/31/2014,Traffic,3
03/31/2014,Weapons Offense,3
03/31/2015,Assault,101
03/31/2015,Breaking & Entering,34
03/31/2015,Disorder,3
03/31/2015,Drugs,16
03/31/2015,Property Crime,39
03/31/2015,Robbery,9
03/31/2015,Theft,49
03/31/2015,Theft from Vehicle,18
03/31/2015,Theft of Vehicle,5
03/31/2015,Traffic,3
03/31/2015,Weapons Offense,2
03/31/2016,Assault,65
03/31/2016,Breaking & Entering,13
03/31/2016,Disorder,4
03/31/2016,Drugs,18
03/31/2016,Property Crime,25
03/31/2016,Robbery,4
03/31/2016,Theft,58
03/31/2016,Theft from Vehicle,14
03/31/2016,Theft of Vehicle,13
03/31/2016,Vehicle Recovery,1
03/31/2016,Weapons Offense,4
03/31/2017,Arson,2
03/31/2017,Assault,83
03/31/2017,Breaking & Entering,29
03/31/2017,Disorder,2
03/31/2017,Drugs,18
03/31/2017,Family Offense,2
03/31/2017,Homicide,1
03/31/2017,Kidnapping,1
03/31/2017,Property Crime,28
03/31/2017,Robbery,7
03/31/2017,Theft,53
03/31/2017,Theft from Vehicle,7
03/31/2017,Theft of Vehicle,11
03/31/2017,Traffic,1
03/31/2017,Weapons Offense,5
03/31/2018,Assault,80
03/31/2018,Breaking & Entering,19
03/31/2018,Disorder,4
03/31/2018,Drugs,11
03/31/2018,Family Offense,1
03/31/2018,Homicide,2
03/31/2018,Liquor,1
03/31/2018,Property Crime,33
03/31/2018,Robbery,7
03/31/2018,Theft,67
03/31/2018,Theft from Vehicle,14
03/31/2018,Theft of Vehicle,9
03/31/2018,Traffic,2
03/31/2018,Vehicle Recovery,1
03/31/2018,Weapons Offense,2
03/31/2019,Arson,1
03/31/2019,Assault,89
03/31/2019,Breaking & Entering,16
03/31/2019,Disorder,6
03/31/2019,Drugs,10
03/31/2019,Family Offense,2
03/31/2019,Homicide,2
03/31/2019,Property Crime,33
03/31/2019,Robbery,5
03/31/2019,Theft,60
03/31/2019,Theft from Vehicle,14
03/31/2019,Theft of Vehicle,13
03/31/2019,Traffic,1
03/31/2019,Vehicle Recovery,1
03/31/2019,Weapons Offense,1
03/31/2020,Assault,63
03/31/2020,Breaking & Entering,12
03/31/2020,Disorder,2
03/31/2020,Drugs,3
03/31/2020,Family Offense,1
03/31/2020,Kidnapping,1
03/31/2020,Property Crime,31
03/31/2020,Robbery,8
03/31/2020,Theft,35
03/31/2020,Theft from Vehicle,19
03/31/2020,Theft of Vehicle,17
03/31/2020,Vehicle Recovery,2
03/31/2020,Weapons Offense,4
03/31/2021,Arson,1
03/31/2021,Assault,72
03/31/2021,Breaking & Entering,16
03/31/2021,Disorder,4
03/31/2021,Drugs,24
03/31/2021,Property Crime,34
03/31/2021,Robbery,6
03/31/2021,Theft,51
03/31/2021,Theft from Vehicle,28
03/31/2021,Theft of Vehicle,19
03/31/2021,Traffic,2
03/31/2021,Vehicle Recovery,2
03/31/2021,Weapons Offense,12
03/31/2022,Assault,71
03/31/2022,Breaking & Entering,19
03/31/2022,Disorder,6
03/31/2022,Drugs,23
03/31/2022,Family Offense,1
03/31/2022,Homicide,1
03/31/2022,Kidnapping,1
03/31/2022,Property Crime,38
03/31/2022,Robbery,8
03/31/2022,Theft,68
03/31/2022,Theft from Vehicle,16
03/31/2022,Theft of Vehicle,17
03/31/2022,Weapons Offense,15
04/01/1997,Theft,1
04/01/2001,Disorder,1
04/01/2001,Theft,1
04/01/2002,Theft,3
04/01/2003,Breaking & Entering,1
04/01/2003,Disorder,1
04/01/2003,Theft,1
04/01/2004,Property Crime,1
04/01/2004,Theft,5
04/01/2005,Assault,1
04/01/2005,Property Crime,1
04/01/2005,Theft,5
04/01/2005,Theft of Vehicle,1
04/01/2006,Arson,3
04/01/2006,Assault,118
04/01/2006,Breaking & Entering,36
04/01/2006,Disorder,1
04/01/2006,Drugs,11
04/01/2006,Homicide,1
04/01/2006,Kidnapping,1
04/01/2006,Property Crime,44
04/01/2006,Robbery,19
04/01/2006,Theft,98
04/01/2006,Theft from Vehicle,39
04/01/2006,Theft of Vehicle,19
04/01/2006,Vehicle Recovery,1
04/01/2006,Weapons Offense,1
04/01/2007,Assault,95
04/01/2007,Breaking & Entering,31
04/01/2007,Disorder,2
04/01/2007,Drugs,14
04/01/2007,Kidnapping,1
04/01/2007,Property Crime,55
04/01/2007,Robbery,18
04/01/2007,Theft,80
04/01/2007,Theft from Vehicle,13
04/01/2007,Theft of Vehicle,16
04/01/2007,Traffic,3
04/01/2007,Vehicle Recovery,1
04/01/2007,Weapons Offense,2
04/01/2008,Arson,4
04/01/2008,Assault,92
04/01/2008,Breaking & Entering,52
04/01/2008,Drugs,16
04/01/2008,Property Crime,53
04/01/2008,Robbery,17
04/01/2008,Theft,87
04/01/2008,Theft from Vehicle,37
04/01/2008,Theft of Vehicle,13
04/01/2008,Traffic,1
04/01/2008,Vehicle Recovery,3
04/01/2008,Weapons Offense,5
04/01/2009,Arson,1
04/01/2009,Assault,97
04/01/2009,Breaking & Entering,42
04/01/2009,Disorder,2
04/01/2009,Drugs,29
04/01/2009,Family Offense,3
04/01/2009,Property Crime,39
04/01/2009,Robbery,12
04/01/2009,Theft,80
04/01/2009,Theft from Vehicle,17
04/01/2009,Theft of Vehicle,15
04/01/2009,Traffic,2
04/01/2009,Weapons Offense,7
04/01/2010,Arson,2
04/01/2010,Assault,104
04/01/2010,Breaking & Entering,25
04/01/2010,Disorder,6
04/01/2010,Drugs,35
04/01/2010,Family Offense,1
04/01/2010,Property Crime,31
04/01/2010,Robbery,14
04/01/2010,Theft,83
04/01/2010,Theft from Vehicle,8
04/01/2010,Theft of Vehicle,11
04/01/2010,Traffic,6
04/01/2010,Vehicle Recovery,1
04/01/2010,Weapons Offense,3
04/01/2011,Arson,1
04/01/2011,Assault,92
04/01/2011,Breaking & Entering,41
04/01/2011,Disorder,7
04/01/2011,Drugs,36
04/01/2011,Family Offense,1
04/01/2011,Kidnapping,1
04/01/2011,Property Crime,31
04/01/2011,Robbery,8
04/01/2011,Theft,77
04/01/2011,Theft from Vehicle,12
04/01/2011,Theft of Vehicle,13
04/01/2011,Traffic,1
04/01/2011,Vehicle Recovery,2
04/01/2011,Weapons Offense,9
04/01/2012,Arson,2
04/01/2012,Assault,111
04/01/2012,Breaking & Entering,30
04/01/2012,Disorder,2
04/01/2012,Drugs,13
04/01/2012,Family Offense,2
04/01/2012,Homicide,2
04/01/2012,Liquor,2
04/01/2012,Property Crime,41
04/01/2012,Robbery,14
04/01/2012,Theft,66
04/01/2012,Theft from Vehicle,13
04/01/2012,Theft of Vehicle,6
04/01/2012,Traffic,4
04/01/2012,Vehicle Recovery,1
04/01/2012,Weapons Offense,6
04/01/2013,Arson,1
04/01/2013,Assault,98
04/01/2013,Breaking & Entering,41
04/01/2013,Disorder,5
04/01/2013,Drugs,18
04/01/2013,Family Offense,1
04/01/2013,Kidnapping,1
04/01/2013,Liquor,1
04/01/2013,Property Crime,41
04/01/2013,Robbery,7
04/01/2013,Theft,81
04/01/2013,Theft from Vehicle,12
04/01/2013,Theft of Vehicle,11
04/01/2013,Traffic,1
04/01/2013,Weapons Offense,3
04/01/2014,Assault,100
04/01/2014,Breaking & Entering,23
04/01/2014,Disorder,8
04/01/2014,Drugs,38
04/01/2014,Family Offense,1
04/01/2014,Liquor,1
04/01/2014,Property Crime,33
04/01/2014,Robbery,6
04/01/2014,Theft,65
04/01/2014,Theft from Vehicle,14
04/01/2014,Theft of Vehicle,5
04/01/2014,Traffic,4
04/01/2014,Vehicle Recovery,1
04/01/2014,Weapons Offense,4
04/01/2015,Assault,85
04/01/2015,Breaking & Entering,29
04/01/2015,Disorder,7
04/01/2015,Drugs,27
04/01/2015,Family Offense,1
04/01/2015,Property Crime,34
04/01/2015,Robbery,9
04/01/2015,Theft,68
04/01/2015,Theft from Vehicle,20
04/01/2015,Theft of Vehicle,8
04/01/2015,Traffic,5
04/01/2015,Vehicle Recovery,2
04/01/2015,Weapons Offense,3
04/01/2016,Arson,1
04/01/2016,Assault,88
04/01/2016,Breaking & Entering,28
04/01/2016,Disorder,5
04/01/2016,Drugs,17
04/01/2016,Kidnapping,2
04/01/2016,Liquor,1
04/01/2016,Property Crime,32
04/01/2016,Robbery,15
04/01/2016,Theft,74
04/01/2016,Theft from Vehicle,19
04/01/2016,Theft of Vehicle,8
04/01/2016,Weapons Offense,1
04/01/2017,Assault,83
04/01/2017,Breaking & Entering,21
04/01/2017,Disorder,9
04/01/2017,Drugs,7
04/01/2017,Family Offense,2
04/01/2017,Liquor,1
04/01/2017,Property Crime,41
04/01/2017,Robbery,4
04/01/2017,Theft,83
04/01/2017,Theft from Vehicle,11
04/01/2017,Theft of Vehicle,10
04/01/2017,Traffic,2
04/01/2017,Vehicle Recovery,2
04/01/2017,Weapons Offense,2
04/01/2018,Arson,2
04/01/2018,Assault,116
04/01/2018,Breaking & Entering,25
04/01/2018,Disorder,2
04/01/2018,Drugs,7
04/01/2018,Kidnapping,2
04/01/2018,Liquor,1
04/01/2018,Property Crime,28
04/01/2018,Robbery,8
04/01/2018,Theft,57
04/01/2018,Theft from Vehicle,23
04/01/2018,Theft of Vehicle,4
04/01/2018,Traffic,1
04/01/2018,Vehicle Recovery,1
04/01/2019,Assault,80
04/01/2019,Breaking & Entering,26
04/01/2019,Disorder,6
04/01/2019,Drugs,5
04/01/2019,Homicide,1
04/01/2019,Kidnapping,2
04/01/2019,Property Crime,39
04/01/2019,Robbery,6
04/01/2019,Theft,70
04/01/2019,Theft from Vehicle,8
04/01/2019,Theft of Vehicle,6
04/01/2019,Traffic,2
04/01/2019,Weapons Offense,1
04/01/2020,Assault,73
04/01/2020,Breaking & Entering,15
04/01/2020,Disorder,3
04/01/2020,Drugs,8
04/01/2020,Property Crime,31
04/01/2020,Robbery,8
04/01/2020,Theft,43
04/01/2020,Theft from Vehicle,30
04/01/2020,Theft of Vehicle,15
04/01/2020,Vehicle Recovery,1
04/01/2020,Weapons Offense,4
04/01/2021,Arson,1
04/01/2021,Assault,67
04/01/2021,Breaking & Entering,7
04/01/2021,Disorder,4
04/01/2021,Drugs,17
04/01/2021,Property Crime,35
04/01/2021,Robbery,8
04/01/2021,Theft,63
04/01/2021,Theft from Vehicle,19
04/01/2021,Theft of Vehicle,10
04/01/2021,Traffic,3
04/01/2021,Weapons Offense,12
04/01/2022,Assault,83
04/01/2022,Breaking & Entering,23
04/01/2022,Disorder,8
04/01/2022,Drugs,29
04/01/2022,Family Offense,1
04/01/2022,Homicide,1
04/01/2022,Property Crime,33
04/01/2022,Robbery,6
04/01/2022,Theft,51
04/01/2022,Theft from Vehicle,21
04/01/2022,Theft of Vehicle,15
04/01/2022,Traffic,3
04/01/2022,Vehicle Recovery,2
04/01/2022,Weapons Offense,16
04/02/2003,Breaking & Entering,1
04/02/2003,Theft,1
04/02/2004,Assault,1
04/02/2004,Theft,2
04/02/2006,Assault,101
04/02/2006,Breaking & Entering,21
04/02/2006,Disorder,2
04/02/2006,Drugs,11
04/02/2006,Homicide,1
04/02/2006,Kidnapping,1
04/02/2006,Property Crime,30
04/02/2006,Robbery,20
04/02/2006,Theft,66
04/02/2006,Theft from Vehicle,17
04/02/2006,Theft of Vehicle,32
04/02/2006,Vehicle Recovery,1
04/02/2006,Weapons Offense,1
04/02/2007,Assault,98
04/02/2007,Breaking & Entering,32
04/02/2007,Disorder,3
04/02/2007,Drugs,22
04/02/2007,Family Offense,1
04/02/2007,Kidnapping,1
04/02/2007,Property Crime,43
04/02/2007,Robbery,12
04/02/2007,Theft,72
04/02/2007,Theft from Vehicle,20
04/02/2007,Theft of Vehicle,24
04/02/2007,Weapons Offense,3
04/02/2008,Arson,4
04/02/2008,Assault,103
04/02/2008,Breaking & Entering,32
04/02/2008,Drugs,20
04/02/2008,Family Offense,2
04/02/2008,Homicide,1
04/02/2008,Kidnapping,1
04/02/2008,Property Crime,47
04/02/2008,Robbery,11
04/02/2008,Theft,67
04/02/2008,Theft from Vehicle,36
04/02/2008,Theft of Vehicle,19
04/02/2008,Traffic,2
04/02/2008,Vehicle Recovery,3
04/02/2008,Weapons Offense,3
04/02/2009,Assault,88
04/02/2009,Breaking & Entering,33
04/02/2009,Disorder,1
04/02/2009,Drugs,28
04/02/2009,Family Offense,1
04/02/2009,Property Crime,41
04/02/2009,Robbery,14
04/02/2009,Theft,66
04/02/2009,Theft from Vehicle,26
04/02/2009,Theft of Vehicle,12
04/02/2009,Traffic,2
04/02/2009,Vehicle Recovery,1
04/02/2009,Weapons Offense,6
04/02/2010,Arson,3
04/02/2010,Assault,118
04/02/2010,Breaking & Entering,36
04/02/2010,Disorder,1
04/02/2010,Drugs,27
04/02/2010,Homicide,1
04/02/2010,Property Crime,33
04/02/2010,Robbery,7
04/02/2010,Theft,63
04/02/2010,Theft from Vehicle,17
04/02/2010,Theft of Vehicle,15
04/02/2010,Traffic,3
04/02/2010,Vehicle Recovery,1
04/02/2010,Weapons Offense,13
04/02/2011,Arson,4
04/02/2011,Assault,104
04/02/2011,Breaking & Entering,13
04/02/2011,Disorder,2
04/02/2011,Drugs,17
04/02/2011,Family Offense,1
04/02/2011,Homicide,2
04/02/2011,Liquor,1
04/02/2011,Property Crime,32
04/02/2011,Robbery,17
04/02/2011,Theft,62
04/02/2011,Theft from Vehicle,21
04/02/2011,Theft of Vehicle,6
04/02/2011,Traffic,5
04/02/2011,Weapons Offense,2
04/02/2012,Assault,105
04/02/2012,Breaking & Entering,32
04/02/2012,Disorder,11
04/02/2012,Drugs,22
04/02/2012,Kidnapping,2
04/02/2012,Property Crime,34
04/02/2012,Robbery,12
04/02/2012,Theft,64
04/02/2012,Theft from Vehicle,20
04/02/2012,Theft of Vehicle,9
04/02/2012,Traffic,1
04/02/2012,Weapons Offense,5
04/02/2013,Arson,1
04/02/2013,Assault,87
04/02/2013,Breaking & Entering,29
04/02/2013,Disorder,4
04/02/2013,Drugs,27
04/02/2013,Kidnapping,1
04/02/2013,Liquor,1
04/02/2013,Property Crime,25
04/02/2013,Robbery,9
04/02/2013,Theft,50
04/02/2013,Theft from Vehicle,7
04/02/2013,Theft of Vehicle,7
04/02/2013,Traffic,4
04/02/2013,Weapons Offense,3
04/02/2014,Arson,1
04/02/2014,Assault,85
04/02/2014,Breaking & Entering,18
04/02/2014,Disorder,8
04/02/2014,Drugs,29
04/02/2014,Family Offense,2
04/02/2014,Kidnapping,1
04/02/2014,Liquor,1
04/02/2014,Property Crime,29
04/02/2014,Robbery,8
04/02/2014,Theft,58
04/02/2014,Theft from Vehicle,13
04/02/2014,Theft of Vehicle,10
04/02/2014,Traffic,2
04/02/2014,Weapons Offense,4
04/02/2015,Assault,82
04/02/2015,Breaking & Entering,32
04/02/2015,Disorder,5
04/02/2015,Drugs,19
04/02/2015,Family Offense,1
04/02/2015,Homicide,1
04/02/2015,Property Crime,34
04/02/2015,Robbery,4
04/02/2015,Theft,53
04/02/2015,Theft from Vehicle,12
04/02/2015,Theft of Vehicle,5
04/02/2015,Traffic,1
04/02/2015,Vehicle Recovery,1
04/02/2015,Weapons Offense,5
04/02/2016,Arson,3
04/02/2016,Assault,88
04/02/2016,Breaking & Entering,21
04/02/2016,Disorder,2
04/02/2016,Drugs,4
04/02/2016,Family Offense,2
04/02/2016,Kidnapping,2
04/02/2016,Property Crime,41
04/02/2016,Robbery,9
04/02/2016,Theft,56
04/02/2016,Theft from Vehicle,19
04/02/2016,Theft of Vehicle,12
04/02/2016,Traffic,5
04/02/2016,Weapons Offense,4
04/02/2017,Arson,3
04/02/2017,Assault,85
04/02/2017,Breaking & Entering,19
04/02/2017,Disorder,4
04/02/2017,Drugs,10
04/02/2017,Homicide,2
04/02/2017,Kidnapping,1
04/02/2017,Property Crime,29
04/02/2017,Robbery,5
04/02/2017,Theft,62
04/02/2017,Theft from Vehicle,13
04/02/2017,Theft of Vehicle,13
04/02/2017,Traffic,3
04/02/2017,Weapons Offense,2
04/02/2018,Arson,3
04/02/2018,Assault,73
04/02/2018,Breaking & Entering,21
04/02/2018,Disorder,8
04/02/2018,Drugs,8
04/02/2018,Family Offense,2
04/02/2018,Property Crime,37
04/02/2018,Robbery,3
04/02/2018,Theft,66
04/02/2018,Theft from Vehicle,24
04/02/2018,Theft of Vehicle,12
04/02/2018,Traffic,3
04/02/2018,Weapons Offense,1
04/02/2019,Assault,101
04/02/2019,Breaking & Entering,20
04/02/2019,Disorder,11
04/02/2019,Drugs,7
04/02/2019,Family Offense,3
04/02/2019,Homicide,1
04/02/2019,Liquor,1
04/02/2019,Property Crime,29
04/02/2019,Robbery,7
04/02/2019,Theft,65
04/02/2019,Theft from Vehicle,12
04/02/2019,Theft of Vehicle,9
04/02/2019,Traffic,3
04/02/2019,Vehicle Recovery,2
04/02/2019,Weapons Offense,3
04/02/2020,Arson,1
04/02/2020,Assault,72
04/02/2020,Breaking & Entering,17
04/02/2020,Disorder,1
04/02/2020,Drugs,4
04/02/2020,Property Crime,32
04/02/2020,Robbery,13
04/02/2020,Theft,61
04/02/2020,Theft from Vehicle,30
04/02/2020,Theft of Vehicle,18
04/02/2020,Vehicle Recovery,1
04/02/2020,Weapons Offense,4
04/02/2021,Arson,2
04/02/2021,Assault,61
04/02/2021,Breaking & Entering,19
